Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
61 4000.00 1220.00 100.005074 48.8328 0.699785 14.9186 1.64577 0 6.96638 0.182553 9.24933 0 0 11.9369 1.80524 0.61865 0.101418 3.04254
58 7000.00 1237.00 99.988043 48.8411 0.699904 14.9211 1.47604 0 7.12054 0.182584 9.25091 0 0 11.9389 1.80555 0.618756 0.101435 3.04306
62 4000.00 1217.00 100.005199 48.8328 0.699784 14.9186 1.64701 0 6.96525 0.182552 9.24932 0 0 11.9369 1.80524 0.61865 0.101418 3.04254
49 10000.00 1280.00 99.972896 48.8485 0.70001 14.9234 1.32503 0 7.2577 0.182611 9.25231 0 0 11.9408 1.80582 0.61885 0.101451 3.04352
50 10000.00 1279.90 99.972897 48.8485 0.70001 14.9234 1.32504 0 7.25769 0.182611 9.25231 0 0 11.9408 1.80582 0.61885 0.101451 3.04352
31 1000.00 1310.00 99.634219 49.0146 0.70239 14.9741 1.80571 0 6.8539 0.183232 9.28376 0 0 11.9813 1.81196 0.620953 0.101796 2.66624
63 4000.00 1214.00 99.744872 48.855 0.70161 14.9575 1.64785 0 6.95505 0.182552 9.15095 0 0 11.9671 1.80995 0.620264 0.101683 3.05048
51 10000.00 1279.80 99.972898 48.8485 0.70001 14.9234 1.32506 0 7.25768 0.182611 9.25231 0 0 11.9408 1.80582 0.61885 0.101451 3.04352
32 1000.00 1307.00 99.636371 49.0135 0.702374 14.9738 1.80653 0 6.85298 0.183228 9.28356 0 0 11.9811 1.81192 0.62094 0.101793 2.668266
52 10000.00 1279.70 99.972899 48.8485 0.70001 14.9234 1.32507 0 7.25767 0.182611 9.25231 0 0 11.9408 1.80582 0.61885 0.101451 3.04352
53 10000.00 1279.60 99.972900 48.8485 0.70001 14.9234 1.32508 0 7.25766 0.182611 9.25231 0 0 11.9408 1.80582 0.61885 0.101451 3.04352
64 4000.00 1217.00 100.005199 48.8328 0.699784 14.9186 1.64701 0 6.96525 0.182552 9.24932 0 0 11.9369 1.80524 0.61865 0.101418 3.04254
54 10000.00 1279.50 99.972901 48.8485 0.70001 14.9234 1.32509 0 7.25764 0.182611 9.25231 0 0 11.9408 1.80582 0.61885 0.101451 3.04352
